file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,0,3
style.css,2,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,1,74
style.css,3,css,4956f8f1,Vishudh Shah,2025-04-25,19:10:52,-07:00,2025-04-25T19:10:52-07:00,1,63
style.css,4,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,0,0
style.css,5,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,0,0
style.css,6,css,11444e46,Vishudh Shah,2025-04-17,22:16:32,-07:00,2025-04-17T22:16:32-07:00,0,11
style.css,7,css,11444e46,Vishudh Shah,2025-04-17,22:16:32,-07:00,2025-04-17T22:16:32-07:00,1,15
style.css,8,css,11444e46,Vishudh Shah,2025-04-17,22:16:32,-07:00,2025-04-17T22:16:32-07:00,1,6
style.css,9,css,11444e46,Vishudh Shah,2025-04-17,22:16:32,-07:00,2025-04-17T22:16:32-07:00,1,8
style.css,10,css,11444e46,Vishudh Shah,2025-04-17,22:16:32,-07:00,2025-04-17T22:16:32-07:00,1,11
style.css,11,css,11444e46,Vishudh Shah,2025-04-17,22:16:32,-07:00,2025-04-17T22:16:32-07:00,1,17
style.css,12,css,11444e46,Vishudh Shah,2025-04-17,22:16:32,-07:00,2025-04-17T22:16:32-07:00,0,0
style.css,13,css,11444e46,Vishudh Shah,2025-04-17,22:16:32,-07:00,2025-04-17T22:16:32-07:00,0,0
style.css,14,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,0,2
style.css,15,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,1,30
style.css,16,css,11444e46,Vishudh Shah,2025-04-17,22:16:32,-07:00,2025-04-17T22:16:32-07:00,1,21
style.css,17,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,0,0
style.css,18,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,0,0
style.css,19,css,5525f349,Vishudh Shah,2025-04-02,23:12:18,-07:00,2025-04-02T23:12:18-07:00,0,2
style.css,20,css,5525f349,Vishudh Shah,2025-04-02,23:12:18,-07:00,2025-04-02T23:12:18-07:00,1,41
style.css,21,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,0,40
style.css,22,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,0,0
style.css,23,css,5525f349,Vishudh Shah,2025-04-02,23:12:18,-07:00,2025-04-02T23:12:18-07:00,1,21
style.css,24,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,1,13
style.css,25,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,1,40
style.css,26,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,1,13
style.css,27,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,0,0
style.css,28,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,0,0
style.css,29,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,0,1
style.css,30,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,1,10
style.css,31,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,1,15
style.css,32,css,11444e46,Vishudh Shah,2025-04-17,22:16:32,-07:00,2025-04-17T22:16:32-07:00,1,60
style.css,33,css,11444e46,Vishudh Shah,2025-04-17,22:16:32,-07:00,2025-04-17T22:16:32-07:00,1,41
style.css,34,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,0,0
style.css,35,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,0,0
style.css,36,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,0,3
style.css,37,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,0,4
style.css,38,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,1,14
style.css,39,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,0,0
style.css,40,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,0,0
style.css,41,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,0,3
style.css,42,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,1,4
style.css,43,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,1,18
style.css,44,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,1,11
style.css,45,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,1,15
style.css,46,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,1,11
style.css,47,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,0,0
style.css,48,css,dca0a78c,Vishudh Shah,2025-04-10,20:14:16,-07:00,2025-04-10T20:14:16-07:00,0,0
